Chat ID,Title,Logged Msg Count,Actual Msg Count,Filesize (bytes),Canvas Used,Log Classification,Actual Folder,Matched Filename,Anomalies
1,AFL tipping strategy,20,92,106246,True,LONG,Long,001_AFL tipping strategy.txt,
2,Archive Project: Dora's Briefing,20,176,168249,False,LONG,Long,002_Archive Project Dora's Briefing.txt,
3,theBigCore,20,100,110108,True,LONG,Long,003_theBigCore.txt,
4,DVD Audio Extraction to USB,20,26,47692,False,LONG,Long,004_DVD Audio Extraction to USB.txt,
5,Audio Setup Troubleshooting Assistance Needed,20,22,26489,False,LONG,Long,005_Audio Setup Troubleshooting Assistance Needed.txt,
6,DoraPhilospher,N/A,40,25880,N/A,N/A,Long,006_DoraPhilospher.txt,ORPHAN_FILE: File found on disk but not in analysis log.
7,Diagnosing Typing Lag and cartooning,20,94,71517,False,LONG,Long,007_Diagnosing Typing Lag and cartooning.txt,
8,dorart,2,2,312,False,SHORT,Short,008_dorart.txt,
9,Exporting Gemini Chat History Verbatim,18,18,26699,False,LONG,Long,009_Exporting Gemini Chat History Verbatim.txt,
10,Refining Dora,20,100,56868,False,LONG,Long,010_Refining Dora.txt,
11,DoraPersonality,20,56,45460,True,LONG,Long,011_DoraPersonality.txt,
12,Consolidating Riley,6,6,20390,False,SHORT,Short,012_Consolidating Riley.txt,
13,Dora2 seems good,20,20,24364,False,LONG,Long,013_Dora2 seems good.txt,
14,chathistory starting thorts,6,6,10965,True,SHORT,Short,014_chathistory starting thorts.txt,
15,WebApp Scraper,20,566,872580,False,LONG,Long,015_WebApp Scraper.txt,
16,Computer Diagnostic and Upgrade Advice,20,44,38372,False,LONG,Long,016_Computer Diagnostic and Upgrade Advice.txt,
17,Copy FileZilla Profile to New User,14,14,14893,False,SHORT,Short,017_Copy FileZilla Profile to New User.txt,
18,Windows Hello Setup Glitch Resolution,20,24,33178,False,LONG,Long,018_Windows Hello Setup Glitch Resolution.txt,
19,Accessing YouTube Premium Downloads,2,2,2705,False,SHORT,Short,019_Accessing YouTube Premium Downloads.txt,
20,Firefox Page Up Key Functionality,4,4,2418,False,SHORT,Short,020_Firefox Page Up Key Functionality.txt,
21,Chrome Debugging Port Connection Error,2,2,2176,False,SHORT,Short,021_Chrome Debugging Port Connection Error.txt,
22,Chrome Debugging Port Connection Error,8,8,5896,False,SHORT,Short,022_Chrome Debugging Port Connection Error.txt,
